date,open,high,low,close,volume
2025-10-06 07:00:00,25.91,27.66,25.46,27.66,2039600
2025-10-07 07:00:00,28.15,28.2,26.99,26.99,963700
2025-10-08 07:00:00,27.8,27.8,26.05,26.63,1313200
2025-10-09 07:00:00,26.76,26.85,26.27,26.36,595500
2025-10-10 07:00:00,26.36,26.45,26.18,26.18,750100
2025-10-13 07:00:00,25.91,26.14,24.75,24.93,1774100
2025-10-14 07:00:00,24.97,26.09,24.21,24.21,1726300
2025-10-15 07:00:00,24.21,24.57,24.21,24.43,414300
2025-10-16 07:00:00,24.79,25.06,24.25,24.25,459800
2025-10-17 07:00:00,24.21,24.57,23.31,23.31,1313700
2025-10-20 07:00:00,23.31,23.76,21.7,22.42,748800
2025-10-21 07:00:00,22.1,22.82,21.79,22.19,656000
2025-10-22 07:00:00,22.42,22.95,21.7,22.5,645700
2025-10-23 07:00:00,22.46,22.55,21.97,22.06,443700
2025-10-24 07:00:00,22.06,22.1,21.7,21.97,202600
2025-10-27 07:00:00,22.06,22.86,21.97,22.6,1441200
2025-10-28 07:00:00,22.6,23.4,22.6,23.31,1825700
2025-10-29 07:00:00,23.31,23.45,22.82,22.82,438600
2025-10-30 07:00:00,22.86,22.91,22.46,22.46,392800
2025-10-31 07:00:00,22.46,22.68,22.37,22.55,441300
2025-11-03 07:00:00,22.55,22.6,21.65,21.65,290800
2025-11-04 07:00:00,21.65,23.13,21.61,23.13,1267800
2025-11-05 07:00:00,22.77,22.95,22.46,22.68,255600
2025-11-06 07:00:00,22.68,22.91,22.42,22.6,292300
2025-11-07 07:00:00,22.46,22.95,22.33,22.42,464100
2025-11-10 07:00:00,22.42,22.95,22.06,22.33,456500
2025-11-11 07:00:00,22.33,22.6,22.28,22.33,242300
2025-11-12 07:00:00,22.33,22.91,22.33,22.91,442600
2025-11-13 07:00:00,22.95,23.0,22.6,22.77,280200
2025-11-14 07:00:00,22.77,23.04,22.68,22.91,248100
2025-11-17 07:00:00,22.91,23.18,22.86,23.0,348800
2025-11-18 07:00:00,23.09,23.76,22.95,23.27,847500
2025-11-19 07:00:00,23.27,23.27,22.95,23.18,269000
2025-11-20 07:00:00,23.18,23.4,22.68,22.95,245900
2025-11-21 07:00:00,22.95,22.95,22.28,22.86,324200
2025-11-24 07:00:00,22.86,23.18,22.82,22.91,165900
2025-11-25 07:00:00,22.91,23.04,22.68,22.77,272400
2025-11-26 07:00:00,22.77,23.8,22.77,23.31,570800
2025-11-27 07:00:00,23.36,23.58,22.91,22.91,187700
2025-11-28 07:00:00,22.86,23.13,22.77,22.91,160000
2025-12-01 07:00:00,22.91,22.95,22.68,22.86,121000
2025-12-02 07:00:00,22.86,23.58,22.68,23.58,495300
2025-12-03 07:00:00,23.58,23.76,23.4,23.54,209300
