date,open,high,low,close,volume
2025-10-06 07:00:00,45.0,47.9,45.0,47.5,1087200
2025-10-07 07:00:00,47.65,47.7,46.6,46.6,402400
2025-10-08 07:00:00,47.4,47.7,45.9,46.35,899100
2025-10-09 07:00:00,46.5,46.5,45.75,45.85,627200
2025-10-10 07:00:00,45.9,46.45,45.9,46.05,465700
2025-10-13 07:00:00,45.3,46.0,45.1,45.6,793400
2025-10-14 07:00:00,46.0,46.65,44.8,44.85,1160000
2025-10-15 07:00:00,44.85,44.9,43.3,43.7,1419300
2025-10-16 07:00:00,44.0,44.25,43.75,43.95,454300
2025-10-17 07:00:00,44.0,45.0,43.05,43.15,1084200
2025-10-20 07:00:00,42.8,43.1,40.15,40.15,1579700
2025-10-21 07:00:00,40.15,41.5,39.5,41.5,1501400
2025-10-22 07:00:00,41.65,41.65,40.35,41.1,568300
2025-10-23 07:00:00,41.3,41.8,40.95,40.95,480700
2025-10-24 07:00:00,41.0,41.4,40.2,41.15,671700
2025-10-27 07:00:00,41.3,43.3,41.3,42.65,1031200
2025-10-28 07:00:00,42.6,43.0,41.95,42.85,424800
2025-10-29 07:00:00,42.85,43.15,42.4,42.4,604700
2025-10-30 07:00:00,42.4,42.9,42.1,42.1,549000
2025-10-31 07:00:00,42.15,42.7,42.1,42.3,427400
2025-11-03 07:00:00,42.3,42.5,41.1,41.1,490200
2025-11-04 07:00:00,41.2,43.5,40.5,42.8,1038000
2025-11-05 07:00:00,42.65,42.65,42.0,42.05,383000
2025-11-06 07:00:00,42.05,42.4,41.5,41.8,321000
2025-11-07 07:00:00,41.75,42.0,40.5,40.5,541800
2025-11-10 07:00:00,40.7,41.5,40.35,40.5,353100
2025-11-11 07:00:00,40.75,41.2,40.6,41.0,214600
2025-11-12 07:00:00,41.2,41.85,40.95,41.8,485300
2025-11-13 07:00:00,42.35,42.35,41.55,41.55,377000
2025-11-14 07:00:00,41.85,41.85,41.3,41.45,367100
2025-11-17 07:00:00,41.9,41.9,41.4,41.75,370900
2025-11-18 07:00:00,41.75,42.7,41.75,42.05,726800
2025-11-19 07:00:00,42.05,42.3,41.35,41.45,520300
2025-11-20 07:00:00,42.0,42.0,40.6,41.0,596200
2025-11-21 07:00:00,40.6,40.85,40.1,40.55,610300
2025-11-24 07:00:00,40.55,40.9,40.05,40.3,476800
2025-11-25 07:00:00,40.1,40.4,39.8,39.8,567400
2025-11-26 07:00:00,39.8,40.8,39.8,40.35,470300
2025-11-27 07:00:00,40.35,40.7,40.0,40.15,252200
2025-11-28 07:00:00,40.15,40.25,39.65,39.65,377900
2025-12-01 07:00:00,39.7,39.85,39.1,39.1,335700
2025-12-02 07:00:00,39.1,39.25,38.2,39.05,478200
2025-12-03 07:00:00,39.05,39.65,38.95,39.5,383900
2025-12-04 07:00:00,39.6,40.3,39.6,40.15,490800
2025-12-05 07:00:00,40.45,40.45,39.4,39.45,350900
2025-12-08 07:00:00,39.5,40.0,38.8,39.45,267400
2025-12-09 07:00:00,39.45,39.45,38.0,38.85,870400
2025-12-10 07:00:00,38.85,39.35,38.35,39.2,306200
2025-12-11 07:00:00,39.4,39.5,38.6,38.6,454000
2025-12-12 07:00:00,39.1,39.2,37.05,37.05,764000
2025-12-15 07:00:00,37.3,37.65,37.15,37.3,268800
2025-12-16 07:00:00,37.5,38.65,36.6,38.25,376900
2025-12-17 07:00:00,38.3,38.3,37.35,37.9,255800
2025-12-18 07:00:00,37.55,37.95,37.25,37.9,315600
2025-12-19 07:00:00,37.85,38.4,37.55,38.4,541100
2025-12-22 07:00:00,38.3,38.85,38.05,38.85,562600
2025-12-23 07:00:00,38.85,38.85,38.1,38.2,613300
2025-12-24 07:00:00,38.3,38.7,37.85,38.5,300000
2025-12-25 07:00:00,38.6,38.8,38.05,38.05,308900
2025-12-26 07:00:00,38.0,38.1,37.05,37.6,456100
2025-12-29 07:00:00,37.65,38.6,37.5,37.6,247000
2025-12-30 07:00:00,37.6,38.4,37.5,38.2,512200
2025-12-31 07:00:00,38.05,38.2,37.6,37.6,161600
