date,open,high,low,close,volume
2025-10-06 07:00:00,101.8,102.0,101.7,102.0,4000
2025-10-07 07:00:00,102.0,102.0,101.3,101.9,4500
2025-10-08 07:00:00,102.0,102.1,101.7,102.0,7100
2025-10-09 07:00:00,102.1,102.1,102.0,102.1,19200
2025-10-10 07:00:00,101.1,102.2,101.1,102.2,11800
2025-10-13 07:00:00,101.3,102.0,101.1,102.0,11900
2025-10-14 07:00:00,102.2,102.2,102.0,102.0,8000
2025-10-15 07:00:00,101.3,101.8,101.3,101.6,5900
2025-10-16 07:00:00,101.6,102.0,101.2,101.5,7100
2025-10-17 07:00:00,102.7,102.7,101.4,101.4,6500
2025-10-20 07:00:00,101.4,101.9,100.4,101.0,11200
2025-10-21 07:00:00,101.0,101.8,101.0,101.1,19500
2025-10-22 07:00:00,102.0,107.2,102.0,105.1,110900
2025-10-23 07:00:00,105.1,106.0,105.1,105.3,28000
2025-10-24 07:00:00,105.7,105.7,103.6,104.9,23400
2025-10-27 07:00:00,103.5,106.5,103.5,106.5,51400
2025-10-28 07:00:00,107.0,109.5,106.5,108.1,49100
2025-10-29 07:00:00,108.2,110.0,107.0,108.0,54300
2025-10-30 07:00:00,108.6,108.6,105.2,105.6,37200
2025-10-31 07:00:00,105.6,105.6,104.0,105.6,48100
2025-11-03 07:00:00,105.6,106.8,104.3,104.7,31800
2025-11-04 07:00:00,104.8,104.8,102.5,102.9,34200
2025-11-05 07:00:00,102.9,104.5,102.9,104.5,9100
2025-11-06 07:00:00,104.6,104.6,103.6,104.5,10000
2025-11-07 07:00:00,104.5,105.0,103.1,103.1,17200
2025-11-10 07:00:00,103.0,103.9,102.6,102.8,12300
2025-11-11 07:00:00,102.7,102.8,101.6,102.8,43200
2025-11-12 07:00:00,102.8,104.8,102.0,103.5,16900
2025-11-13 07:00:00,103.5,104.5,102.5,103.4,6400
2025-11-14 07:00:00,103.4,103.9,103.1,103.7,4900
2025-11-17 07:00:00,103.9,104.3,103.2,103.7,13900
2025-11-18 07:00:00,103.5,104.4,103.3,103.5,6900
2025-11-19 07:00:00,103.5,103.5,102.7,102.7,6500
2025-11-20 07:00:00,102.7,103.4,102.4,102.6,10500
2025-11-21 07:00:00,102.5,102.9,102.0,102.8,23900
2025-11-24 07:00:00,102.8,102.8,102.6,102.7,3000
2025-11-25 07:00:00,102.5,103.5,102.5,102.5,12600
2025-11-26 07:00:00,102.5,102.8,102.4,102.8,4500
2025-11-27 07:00:00,102.8,103.0,102.2,102.6,3100
2025-11-28 07:00:00,102.6,103.0,102.6,102.6,4300
2025-12-01 07:00:00,102.6,103.7,102.5,103.5,6100
2025-12-02 07:00:00,102.6,103.5,102.6,103.0,7100
2025-12-03 07:00:00,103.2,103.2,102.9,103.2,10400
2025-12-04 07:00:00,103.2,103.9,103.2,103.7,29300
2025-12-05 07:00:00,103.6,103.8,103.0,103.8,20200
2025-12-08 07:00:00,104.8,105.0,103.6,104.0,18900
2025-12-09 07:00:00,104.0,104.5,102.5,102.9,13600
2025-12-10 07:00:00,102.6,103.2,102.4,102.5,24900
2025-12-11 07:00:00,102.7,103.1,102.6,103.0,5700
2025-12-12 07:00:00,103.0,103.6,102.0,102.0,24400
2025-12-15 07:00:00,102.1,102.3,101.8,101.9,6000
2025-12-16 07:00:00,102.0,103.0,101.9,103.0,23100
2025-12-17 07:00:00,102.0,102.0,101.0,102.0,41200
2025-12-18 07:00:00,101.2,102.0,101.0,101.3,22600
2025-12-19 07:00:00,101.3,101.5,101.0,101.4,40300
2025-12-22 07:00:00,101.3,101.4,101.0,101.4,21000
2025-12-23 07:00:00,101.4,101.4,101.2,101.3,15900
2025-12-24 07:00:00,101.3,101.3,101.0,101.1,11900
2025-12-25 07:00:00,101.5,101.8,101.1,101.4,16800
2025-12-26 07:00:00,101.4,101.4,100.0,101.4,27800
2025-12-29 07:00:00,101.4,102.9,101.4,102.1,10700
2025-12-30 07:00:00,102.2,102.8,102.2,102.5,12200
2025-12-31 07:00:00,101.9,102.5,101.6,102.3,16600
2026-01-05 07:00:00,102.3,102.3,101.5,102.0,8300
2026-01-06 07:00:00,103.0,103.0,102.0,102.5,5900
2026-01-07 07:00:00,101.4,103.0,101.4,102.7,13800
2026-01-08 07:00:00,102.7,103.2,102.7,102.9,10100
2026-01-09 07:00:00,103.2,103.2,102.9,102.9,15900
2026-01-12 07:00:00,103.0,104.4,103.0,104.2,32900
2026-01-13 07:00:00,104.2,104.3,102.6,104.2,13900
2026-01-14 07:00:00,103.8,105.0,103.8,104.6,22400
2026-01-15 07:00:00,104.6,109.0,104.6,106.5,28700
2026-01-16 07:00:00,106.3,106.9,105.0,106.7,15900
2026-01-19 07:00:00,107.0,108.0,105.6,106.9,34500
2026-01-20 07:00:00,107.0,107.4,104.5,104.5,34500
2026-01-21 07:00:00,104.0,104.1,102.9,103.4,39000
2026-01-22 07:00:00,103.4,104.8,103.4,103.6,17500
2026-01-23 07:00:00,104.5,104.5,103.3,103.6,13300
2026-01-26 07:00:00,103.6,103.8,102.5,102.9,24700
2026-01-27 07:00:00,102.2,103.6,102.2,103.4,9000
2026-01-28 07:00:00,103.4,103.8,103.4,103.5,10800
2026-01-29 07:00:00,104.4,104.4,103.0,103.7,23700
2026-01-30 07:00:00,103.7,104.8,103.5,104.0,12900
2026-02-02 07:00:00,103.6,104.9,103.5,104.0,12600
2026-02-03 07:00:00,104.9,104.9,104.1,104.2,20800
2026-02-04 07:00:00,104.3,104.3,103.3,103.9,12400
2026-02-05 07:00:00,104.2,104.2,103.1,103.1,4800
2026-02-06 07:00:00,103.5,103.9,102.2,103.0,38100
2026-02-09 07:00:00,103.0,103.6,102.6,103.6,26700
2026-02-10 07:00:00,103.8,103.8,102.0,103.4,13200
2026-02-11 07:00:00,103.4,103.5,103.0,103.4,2900
2026-02-12 07:00:00,103.5,103.5,103.2,103.5,3500
2026-02-13 07:00:00,103.5,103.5,103.2,103.5,2900
2026-02-23 07:00:00,103.6,104.2,103.3,104.0,8300
2026-02-24 07:00:00,104.1,105.0,103.8,104.7,11600
2026-02-25 07:00:00,105.0,105.5,104.6,104.6,17500
2026-02-26 07:00:00,104.6,104.6,104.3,104.6,7700
2026-02-27 07:00:00,104.8,104.8,104.3,104.6,9500
2026-03-02 07:00:00,104.9,104.9,103.1,103.3,12200
