date,open,high,low,close,volume
2025-10-06 07:00:00,19.83,20.01,19.78,19.96,338800
2025-10-07 07:00:00,20.01,20.01,19.56,19.56,375300
2025-10-08 07:00:00,19.74,19.74,19.39,19.48,205300
2025-10-09 07:00:00,19.34,19.74,19.17,19.74,523100
2025-10-10 07:00:00,19.48,19.74,19.3,19.3,350600
2025-10-13 07:00:00,18.7,19.2,18.7,19.15,336700
2025-10-14 07:00:00,19.15,19.7,18.7,19.35,717900
2025-10-15 07:00:00,18.9,19.6,18.9,18.9,186900
2025-10-16 07:00:00,18.9,19.5,18.75,19.45,481500
2025-10-17 07:00:00,19.45,19.45,19.0,19.0,107100
2025-10-20 07:00:00,19.0,19.65,18.5,18.5,937500
2025-10-21 07:00:00,18.55,19.0,18.3,18.55,200700
2025-10-22 07:00:00,18.6,19.1,18.55,19.0,255000
2025-10-23 07:00:00,19.3,19.4,18.85,18.9,49700
2025-10-24 07:00:00,18.9,19.55,18.65,19.3,275600
2025-10-27 07:00:00,19.3,19.6,19.25,19.45,207300
2025-10-28 07:00:00,19.6,19.9,19.4,19.6,427700
2025-10-29 07:00:00,19.6,20.3,19.6,19.85,588800
2025-10-30 07:00:00,20.1,20.1,19.75,19.8,186400
2025-10-31 07:00:00,19.8,19.9,19.65,19.65,241300
2025-11-03 07:00:00,19.65,21.0,19.6,20.95,2276300
2025-11-04 07:00:00,20.45,20.9,19.9,20.8,455200
2025-11-05 07:00:00,20.75,21.85,20.2,20.4,991900
2025-11-06 07:00:00,20.2,20.75,20.0,20.45,365200
2025-11-07 07:00:00,20.2,20.45,19.8,19.8,355300
2025-11-10 07:00:00,19.65,19.75,19.0,19.0,668800
2025-11-11 07:00:00,19.3,19.3,18.8,19.1,323700
2025-11-12 07:00:00,19.1,19.6,19.1,19.45,248800
2025-11-13 07:00:00,19.35,19.5,19.25,19.5,193000
2025-11-14 07:00:00,19.45,19.45,19.2,19.25,241700
2025-11-17 07:00:00,19.15,19.45,19.15,19.3,181800
2025-11-18 07:00:00,19.2,19.3,19.0,19.2,604500
2025-11-19 07:00:00,19.35,19.5,19.0,19.35,408600
2025-11-20 07:00:00,19.4,19.4,19.05,19.1,223300
2025-11-21 07:00:00,19.05,19.1,18.65,18.7,685400
2025-11-24 07:00:00,18.75,18.9,18.5,18.55,286800
2025-11-25 07:00:00,18.5,18.55,18.3,18.3,623300
2025-11-26 07:00:00,18.35,18.5,18.25,18.5,707900
2025-11-27 07:00:00,18.5,18.6,18.3,18.5,132800
2025-11-28 07:00:00,18.6,18.65,18.4,18.65,600700
2025-12-01 07:00:00,18.65,18.65,18.35,18.35,1037100
2025-12-02 07:00:00,18.35,18.35,18.2,18.35,471200
2025-12-03 07:00:00,18.4,18.65,18.3,18.55,587100
2025-12-04 07:00:00,18.6,18.65,18.45,18.5,187800
2025-12-05 07:00:00,18.55,18.6,18.45,18.6,67900
2025-12-08 07:00:00,18.6,19.4,18.45,19.1,679000
2025-12-09 07:00:00,19.2,19.2,18.6,18.75,212300
2025-12-10 07:00:00,18.9,18.9,18.5,18.5,118100
2025-12-11 07:00:00,18.5,18.7,18.45,18.6,149400
2025-12-12 07:00:00,18.5,18.6,17.9,18.0,414900
2025-12-15 07:00:00,18.05,18.2,17.65,17.7,362700
2025-12-16 07:00:00,17.95,18.05,17.55,17.85,141500
2025-12-17 07:00:00,18.0,18.05,17.5,17.9,165500
2025-12-18 07:00:00,17.85,17.85,17.65,17.7,76100
2025-12-19 07:00:00,17.7,17.85,17.55,17.8,163100
2025-12-22 07:00:00,17.7,18.05,17.65,18.0,154900
2025-12-23 07:00:00,18.05,18.1,17.5,17.9,403400
2025-12-24 07:00:00,17.9,17.9,17.6,17.75,135300
2025-12-25 07:00:00,17.75,17.85,17.6,17.6,105400
2025-12-26 07:00:00,17.6,17.6,17.05,17.4,948300
2025-12-29 07:00:00,17.35,17.6,17.35,17.6,180500
2025-12-30 07:00:00,17.65,17.7,17.3,17.5,341800
2025-12-31 07:00:00,17.5,17.55,17.3,17.3,287200
2026-01-05 07:00:00,17.2,17.55,17.2,17.3,254200
2026-01-06 07:00:00,17.45,17.95,17.45,17.8,739500
2026-01-07 07:00:00,17.9,18.5,17.8,18.35,516600
2026-01-08 07:00:00,18.5,18.5,17.75,17.8,992300
2026-01-09 07:00:00,17.9,18.25,17.65,18.2,699100
2026-01-12 07:00:00,18.2,18.45,17.7,18.15,580800
2026-01-13 07:00:00,18.0,18.3,18.0,18.2,542600
2026-01-14 07:00:00,18.3,18.8,18.0,18.6,1098900
2026-01-15 07:00:00,18.8,19.8,18.35,19.5,1514400
2026-01-16 07:00:00,19.9,20.45,19.35,19.75,1337300
2026-01-19 07:00:00,19.7,19.9,19.1,19.15,739400
2026-01-20 07:00:00,19.2,19.8,19.15,19.15,1230800
2026-01-21 07:00:00,19.05,19.25,18.75,19.25,525800
2026-01-22 07:00:00,19.4,19.4,18.85,19.05,447400
2026-01-23 07:00:00,19.0,19.25,18.45,18.55,425800
2026-01-26 07:00:00,18.5,18.55,17.8,17.85,569100
2026-01-27 07:00:00,17.9,18.05,17.7,18.0,249800
2026-01-28 07:00:00,17.95,18.35,17.95,18.2,281200
2026-01-29 07:00:00,18.3,18.5,18.1,18.3,245900
2026-01-30 07:00:00,18.55,18.55,18.15,18.4,135600
2026-02-02 07:00:00,18.05,18.3,17.95,18.15,327600
2026-02-03 07:00:00,18.15,18.65,18.15,18.6,297600
2026-02-04 07:00:00,18.95,19.9,18.7,19.9,1109800
2026-02-05 07:00:00,20.65,20.65,19.85,19.9,1952300
2026-02-06 07:00:00,19.65,19.85,18.75,18.75,842600
2026-02-09 07:00:00,19.25,19.25,18.35,18.45,411200
2026-02-10 07:00:00,18.6,18.8,18.0,18.05,644900
2026-02-11 07:00:00,18.2,18.8,18.2,18.8,356200
2026-02-12 07:00:00,18.85,18.85,18.45,18.5,153000
2026-02-13 07:00:00,18.5,18.6,18.35,18.5,193400
2026-02-23 07:00:00,18.6,19.15,18.55,19.1,875200
2026-02-24 07:00:00,19.15,19.15,18.8,19.0,355700
2026-02-25 07:00:00,19.0,19.25,18.8,19.05,434800
2026-02-26 07:00:00,19.2,19.2,18.6,18.75,484100
