date,open,high,low,close,volume
2025-10-06 07:00:00,52.74,53.43,52.45,53.43,248100
2025-10-07 07:00:00,53.33,53.53,52.25,52.35,443700
2025-10-08 07:00:00,53.33,53.82,52.74,53.72,240900
2025-10-09 07:00:00,53.33,54.12,53.33,54.02,178600
2025-10-10 07:00:00,54.12,54.12,52.94,53.43,396900
2025-10-13 07:00:00,53.33,53.33,51.37,51.76,550400
2025-10-14 07:00:00,52.06,52.55,50.68,50.98,817000
2025-10-15 07:00:00,50.98,50.98,49.51,50.0,725100
2025-10-16 07:00:00,50.0,50.39,48.04,50.39,362900
2025-10-17 07:00:00,50.88,50.88,49.12,49.51,314400
2025-10-20 07:00:00,49.41,49.7,46.17,46.17,635300
2025-10-21 07:00:00,46.57,48.04,46.37,48.04,508400
2025-10-22 07:00:00,48.53,48.72,47.45,48.33,144300
2025-10-23 07:00:00,48.33,48.53,48.14,48.43,87900
2025-10-24 07:00:00,48.43,48.53,47.3,47.79,307300
2025-10-27 07:00:00,47.79,49.61,47.79,48.82,271900
2025-10-28 07:00:00,48.82,48.97,48.33,48.92,164500
2025-10-29 07:00:00,49.02,49.9,48.87,49.21,344100
2025-10-30 07:00:00,49.21,49.8,49.12,49.61,219100
2025-10-31 07:00:00,50.29,51.37,49.7,49.8,737800
2025-11-03 07:00:00,50.39,53.23,49.9,53.23,877500
2025-11-04 07:00:00,53.82,54.12,50.68,53.23,1009800
2025-11-05 07:00:00,53.04,54.8,52.55,53.43,835000
2025-11-06 07:00:00,54.02,54.02,52.15,53.04,347700
2025-11-07 07:00:00,53.04,53.33,50.78,50.98,465800
2025-11-10 07:00:00,51.08,53.04,50.98,51.96,367500
2025-11-11 07:00:00,52.45,53.04,52.06,52.35,281200
2025-11-12 07:00:00,52.35,55.19,52.06,54.9,827800
2025-11-13 07:00:00,55.68,55.68,54.02,54.9,451500
2025-11-14 07:00:00,54.5,56.1,54.5,55.3,530700
2025-11-17 07:00:00,55.8,55.8,54.0,54.1,433400
2025-11-18 07:00:00,54.1,54.2,53.3,54.2,404500
2025-11-19 07:00:00,54.1,55.1,54.1,54.2,327900
2025-11-20 07:00:00,54.2,55.7,54.2,55.3,748300
2025-11-21 07:00:00,54.7,55.3,53.0,54.1,467200
2025-11-24 07:00:00,54.1,54.2,53.1,53.2,199300
2025-11-25 07:00:00,53.2,53.2,51.9,51.9,349200
2025-11-26 07:00:00,52.3,52.3,51.6,51.9,163500
2025-11-27 07:00:00,52.5,52.9,52.0,52.9,151600
2025-11-28 07:00:00,52.9,53.0,52.0,52.1,156400
2025-12-01 07:00:00,52.1,52.2,51.5,51.5,203000
2025-12-02 07:00:00,51.4,52.3,50.4,51.7,496700
2025-12-03 07:00:00,51.8,53.4,51.8,53.4,389000
2025-12-04 07:00:00,53.5,53.5,52.7,52.8,347700
2025-12-05 07:00:00,53.2,53.2,51.9,52.0,386700
2025-12-08 07:00:00,52.0,55.6,52.0,55.6,1282300
2025-12-09 07:00:00,56.5,57.0,54.2,55.0,855400
2025-12-10 07:00:00,55.4,55.4,53.1,54.3,554800
2025-12-11 07:00:00,54.2,55.3,53.4,54.6,501000
2025-12-12 07:00:00,54.6,54.8,52.0,52.0,578300
2025-12-15 07:00:00,51.9,53.0,51.6,52.7,303800
2025-12-16 07:00:00,52.6,53.6,51.0,53.4,446500
2025-12-17 07:00:00,53.2,54.4,53.0,53.4,347300
