date,open,high,low,close,volume
2025-10-06 07:00:00,20.3,21.25,20.15,21.25,19470400
2025-10-07 07:00:00,21.3,21.3,20.6,20.6,18330100
2025-10-08 07:00:00,20.9,20.9,20.1,20.65,30884600
2025-10-09 07:00:00,20.6,20.85,20.25,20.55,23327400
2025-10-10 07:00:00,20.6,21.1,20.55,20.7,19288500
2025-10-13 07:00:00,20.3,21.6,20.15,21.35,32286300
2025-10-14 07:00:00,21.45,21.5,20.5,20.5,33457300
2025-10-15 07:00:00,20.5,21.0,20.25,21.0,28037300
2025-10-16 07:00:00,21.15,22.45,21.15,22.45,65908500
2025-10-17 07:00:00,22.65,23.5,22.45,22.6,53757300
2025-10-20 07:00:00,22.2,22.85,21.05,21.05,38458700
2025-10-21 07:00:00,20.8,20.9,19.6,20.0,44096900
2025-10-22 07:00:00,20.35,20.5,18.9,20.5,28053200
2025-10-23 07:00:00,20.5,20.6,20.05,20.05,12197400
2025-10-24 07:00:00,20.0,21.0,19.65,20.9,28391800
2025-10-27 07:00:00,21.05,21.1,20.2,20.2,15858600
2025-10-28 07:00:00,20.05,21.0,19.65,21.0,16731900
2025-10-29 07:00:00,21.05,21.1,20.7,20.95,17658200
2025-10-30 07:00:00,20.95,21.45,20.8,21.2,22075400
2025-10-31 07:00:00,21.3,21.35,20.25,20.25,16826800
2025-11-03 07:00:00,20.2,20.35,18.85,18.85,36098100
2025-11-04 07:00:00,18.7,20.15,17.85,20.15,36428000
2025-11-05 07:00:00,20.0,20.2,19.3,20.1,17934400
2025-11-06 07:00:00,20.0,20.0,19.4,19.8,12560600
2025-11-07 07:00:00,19.5,19.7,18.6,18.9,19005100
2025-11-10 07:00:00,19.3,19.3,18.25,18.25,11810800
2025-11-11 07:00:00,18.4,18.8,18.0,18.8,12403700
2025-11-12 07:00:00,18.8,19.5,18.65,19.15,15067500
2025-11-13 07:00:00,19.15,19.45,18.9,19.0,10443300
2025-11-14 07:00:00,18.9,19.55,18.8,19.25,13362700
2025-11-17 07:00:00,19.35,19.85,19.3,19.65,16252700
2025-11-18 07:00:00,19.8,19.8,19.3,19.6,11927900
2025-11-19 07:00:00,19.45,19.7,18.8,19.05,20872700
2025-11-20 07:00:00,19.1,19.35,18.6,19.35,13245400
2025-11-21 07:00:00,19.0,19.2,18.8,19.15,12909600
2025-11-24 07:00:00,19.3,19.3,18.85,18.95,6407600
2025-11-25 07:00:00,19.0,19.15,18.15,18.4,12924000
2025-11-26 07:00:00,18.5,19.15,18.35,19.15,15854800
2025-11-27 07:00:00,19.15,19.2,18.7,18.75,8320100
2025-11-28 07:00:00,18.75,18.95,18.4,18.8,9242700
2025-12-01 07:00:00,18.9,18.9,18.4,18.4,7659200
2025-12-02 07:00:00,18.35,18.45,17.9,18.4,14567400
2025-12-03 07:00:00,18.45,18.55,18.25,18.55,14499600
2025-12-04 07:00:00,18.65,19.15,18.55,19.15,20584700
2025-12-05 07:00:00,19.2,19.2,18.65,18.65,12557900
2025-12-08 07:00:00,18.65,18.7,18.3,18.45,8077400
2025-12-09 07:00:00,18.4,18.45,17.85,18.05,14056000
2025-12-10 07:00:00,18.1,18.35,18.0,18.05,6217600
2025-12-11 07:00:00,18.3,18.3,18.0,18.0,4830100
2025-12-12 07:00:00,18.0,18.1,16.75,16.75,21727100
2025-12-15 07:00:00,16.75,16.95,16.2,16.3,13530900
2025-12-16 07:00:00,16.3,17.4,16.05,17.25,17084300
2025-12-17 07:00:00,17.15,17.25,16.85,16.85,6559600
2025-12-18 07:00:00,16.85,17.25,16.75,17.25,9443700
2025-12-19 07:00:00,17.25,17.8,17.1,17.8,15569500
2025-12-22 07:00:00,17.95,18.05,17.65,18.0,8856400
2025-12-23 07:00:00,18.0,18.1,17.6,17.9,9738800
2025-12-24 07:00:00,17.8,18.25,17.7,18.15,10955300
2025-12-25 07:00:00,18.1,18.2,17.6,17.6,9010000
2025-12-26 07:00:00,17.5,17.65,16.8,17.6,16044400
2025-12-29 07:00:00,17.7,17.75,17.3,17.65,6373200
2025-12-30 07:00:00,17.6,17.8,17.25,17.5,8075700
2025-12-31 07:00:00,17.45,17.45,17.1,17.1,7797100
2026-01-05 07:00:00,17.1,17.4,16.65,17.0,8383800
2026-01-06 07:00:00,16.85,17.0,16.45,16.65,9547900
2026-01-07 07:00:00,16.8,16.95,16.55,16.75,10864500
2026-01-08 07:00:00,16.9,17.1,16.4,16.5,15743200
2026-01-09 07:00:00,16.5,16.65,15.4,15.5,33186300
2026-01-12 07:00:00,15.55,16.35,15.3,16.1,20904200
2026-01-13 07:00:00,16.55,16.7,16.05,16.2,17185600
2026-01-14 07:00:00,16.05,16.55,15.75,15.9,17778500
2026-01-15 07:00:00,15.7,16.45,15.65,15.95,17357500
2026-01-16 07:00:00,16.05,16.25,15.75,15.9,10846100
2026-01-19 07:00:00,15.95,16.15,15.7,15.7,12191700
2026-01-20 07:00:00,15.75,15.95,15.4,15.45,13120400
2026-01-21 07:00:00,15.3,15.85,14.95,15.2,18304200
2026-01-22 07:00:00,15.25,16.25,14.65,15.75,39056400
2026-01-23 07:00:00,15.8,15.9,15.2,15.3,9782400
2026-01-26 07:00:00,15.25,15.4,14.55,14.65,18054700
2026-01-27 07:00:00,14.7,15.0,14.6,15.0,7028500
2026-01-28 07:00:00,15.0,15.4,14.6,15.2,12649600
2026-01-29 07:00:00,15.3,15.45,15.1,15.2,4817800
2026-01-30 07:00:00,15.25,15.6,15.15,15.4,11584600
2026-02-02 07:00:00,15.3,15.4,14.95,15.2,9399100
2026-02-03 07:00:00,15.3,15.4,15.0,15.25,12362400
2026-02-04 07:00:00,15.25,15.5,15.05,15.4,8320000
2026-02-05 07:00:00,15.5,15.55,15.05,15.05,8941700
2026-02-06 07:00:00,14.9,14.95,14.3,14.3,17976600
2026-02-09 07:00:00,14.55,15.0,14.35,15.0,11540400
